Lat,Long,Site,Sample,Sample_ID,Living,Dead,Total,Depth,Stem_Height,Node_scale_avg,Nodes,scale_inference,Flowering,Haplotype
29.14009,89.19157,2,8,D2-8,4,2,6,0,346.5,67.2,18,1209.6,N,Delta (M1)
29.14009,89.19157,2,9,D2-9,7,2,9,0,321,59.2,16,947.2,N,Delta (M1)
29.14009,89.19157,2,10,D2-10,2,1,3,0,280,70.3,13,913.9,N,Delta (M1)
29.14009,89.19157,2,11,D2-11,7,4,11,0,284.5,52.3,16,836.8,N,Delta (M1)
29.14009,89.19157,2,12,D2-12,4,4,8,0,358,64,18,1152,N,Delta (M1)
29.14009,89.19157,2,13,D2-13,6,2,8,0,350,66.4,17,1128.8,N,Delta (M1)
29.14009,89.19157,2,14,D2-14,6,4,10,0,261,47.2,15,708,N,Delta (M1)
29.14009,89.19157,2,15,D2-15,10,4,14,0,319.5,52.2,17,887.4,N,Delta (M1)
29.14009,89.19157,2,16,D2-16,6,0,6,0,313,50.4,14,705.6,N,Delta (M1)
29.14009,89.19157,2,17,D2-17,6,1,7,0,329,78,17,1326,N,Delta (M1)
29.14009,89.19157,2,18,D2-18,3,3,6,0,280,31.5,14,441,N,Delta (M1)
29.14009,89.19157,2,19,D2-19,2,2,4,0,299.5,88.2,15,1323,N,Delta (M1)
29.14009,89.19157,2,20,D2-20,5,10,15,0,320.5,44.4,15,666,N,Delta (M1)
